strategy,sample_id,cooks_distance,high_leverage_threshold_4_over_n,flag_above_4_over_n
raw_log2,GSM6788338,0.2624018654612664,0.3333333333333333,False
raw_log2,GSM6788339,0.031125819830477672,0.3333333333333333,False
raw_log2,GSM6788340,0.009597851847564991,0.3333333333333333,False
raw_log2,GSM6788341,0.01033597349817971,0.3333333333333333,False
raw_log2,GSM6788342,0.3990761201928482,0.3333333333333333,True
raw_log2,GSM6788343,0.006150744080645372,0.3333333333333333,False
raw_log2,GSM6788344,0.26489414030295055,0.3333333333333333,False
raw_log2,GSM6788345,0.12944785981447102,0.3333333333333333,False
raw_log2,GSM6788350,0.11176589613532228,0.3333333333333333,False
raw_log2,GSM6788351,0.08101439849215693,0.3333333333333333,False
raw_log2,GSM6788352,0.06878897636311142,0.3333333333333333,False
raw_log2,GSM6788353,0.031415280416999584,0.3333333333333333,False
background_only,GSM6788338,0.30767435499730705,0.3333333333333333,False
background_only,GSM6788339,0.02201697486529322,0.3333333333333333,False
background_only,GSM6788340,0.0009457480611979775,0.3333333333333333,False
background_only,GSM6788341,0.023473435030215054,0.3333333333333333,False
background_only,GSM6788342,0.5131186060158535,0.3333333333333333,True
background_only,GSM6788343,0.016594377017881922,0.3333333333333333,False
background_only,GSM6788344,0.19754302011191271,0.3333333333333333,False
background_only,GSM6788345,0.14206116106796773,0.3333333333333333,False
background_only,GSM6788350,0.07135231150372683,0.3333333333333333,False
background_only,GSM6788351,0.068849866307609,0.3333333333333333,False
background_only,GSM6788352,0.05969156353693248,0.3333333333333333,False
background_only,GSM6788353,0.05032766660869856,0.3333333333333333,False
background_positive,GSM6788338,0.27592261879004154,0.3333333333333333,False
background_positive,GSM6788339,0.06822852900506736,0.3333333333333333,False
background_positive,GSM6788340,0.0004461678175775989,0.3333333333333333,False
background_positive,GSM6788341,0.07407261018174119,0.3333333333333333,False
background_positive,GSM6788342,0.5968745139178467,0.3333333333333333,True
background_positive,GSM6788343,0.02028210988428324,0.3333333333333333,False
background_positive,GSM6788344,0.04210740960265993,0.3333333333333333,False
background_positive,GSM6788345,0.0956847944476804,0.3333333333333333,False
background_positive,GSM6788350,0.03198959781187217,0.3333333333333333,False
background_positive,GSM6788351,0.132877932029239,0.3333333333333333,False
background_positive,GSM6788352,0.06564503869377052,0.3333333333333333,False
background_positive,GSM6788353,0.07980378210815763,0.3333333333333333,False
background_positive_housekeeping,GSM6788338,0.33607717759280875,0.3333333333333333,True
background_positive_housekeeping,GSM6788339,0.0430027191498357,0.3333333333333333,False
background_positive_housekeeping,GSM6788340,0.0017423037382564605,0.3333333333333333,False
background_positive_housekeeping,GSM6788341,0.1029801565624109,0.3333333333333333,False
background_positive_housekeeping,GSM6788342,0.9081441557927177,0.3333333333333333,True
background_positive_housekeeping,GSM6788343,0.018934611444978416,0.3333333333333333,False
background_positive_housekeeping,GSM6788344,0.012171850269052273,0.3333333333333333,False
background_positive_housekeeping,GSM6788345,0.05387681872883132,0.3333333333333333,False
background_positive_housekeeping,GSM6788350,0.028807382997291974,0.3333333333333333,False
background_positive_housekeeping,GSM6788351,0.08301707779429188,0.3333333333333333,False
background_positive_housekeeping,GSM6788352,0.08945816411290003,0.3333333333333333,False
background_positive_housekeeping,GSM6788353,0.07682261059611584,0.3333333333333333,False
