strategy,gene,median_IgAN,median_IgAVN,median_difference_IgAN_minus_IgAVN,raw_p,cliffs_delta_IgAN_vs_IgAVN,FDR_within_strategy,predefined_focus_gene
raw_log2,VTN,2.321928094887362,4.754887502163468,-2.432959407276106,0.04797979797979798,-0.7142857142857143,0.1676535469638918,False
raw_log2,HLA-DQB1,6.754887502163468,6.700439718141092,0.05444778402237649,0.5303030303030304,-0.2571428571428571,0.6384638463846386,False
raw_log2,KIT,4.700439718141092,6.94251450533924,-2.242074787198148,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,LAG3,3.169925001442312,3.9068905956085187,-0.7369655941662066,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,SOCS3,6.672425341971495,6.94251450533924,-0.2700891633677447,0.5303030303030304,-0.2571428571428571,0.6384638463846386,False
raw_log2,TCF7,5.977279923499917,5.285402218862249,0.6918777046376681,0.638888888888889,0.2,0.7329140461215933,False
raw_log2,IKBKB,6.741466986401147,8.558420713268664,-1.8169537268675162,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,KLRC2,3.169925001442312,4.247927513443585,-1.078002512001273,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,ITGA6,7.022367813028454,9.948367231584678,-2.9259994185562235,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,CXCR4,7.1799090900149345,7.78135971352466,-0.6014506235097254,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,NFKBIZ,7.515699838284043,8.154818109052105,-0.639118270768062,0.3434343434343435,-0.37142857142857144,0.45791245791245794,False
raw_log2,ATG5,5.357552004618084,8.271463027904375,-2.913911023286291,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,MAPK14,7.129283016944966,9.774787059601174,-2.6455040426562073,0.04797979797979798,-0.7142857142857143,0.1676535469638918,False
raw_log2,IL32,11.718104713121757,12.33734314727405,-0.6192384341522921,0.7550505050505051,-0.14285714285714285,0.8256667393358041,False
raw_log2,CFB,8.022367813028454,8.79766152585376,-0.7752937128253059,0.3434343434343435,-0.37142857142857144,0.45791245791245794,True
raw_log2,CXCL1,5.247927513443585,5.247927513443585,0.0,0.8762626262626263,-0.11428571428571428,0.9169839531285314,False
raw_log2,CEACAM1,5.584962500721156,7.330916878114617,-1.7459543773934607,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,C8A,2.0,2.584962500721156,-0.5849625007211561,0.20202020202020204,-0.5142857142857142,0.3190345008526827,False
raw_log2,CFP,3.4594316186372973,4.247927513443585,-0.7884958948062879,0.3434343434343435,-0.37142857142857144,0.45791245791245794,False
raw_log2,LILRA5,3.4594316186372973,3.9068905956085187,-0.4474589769712214,0.638888888888889,-0.22857142857142856,0.7329140461215933,False
raw_log2,IL10RA,6.539158811108031,7.2384047393250786,-0.6992459282170476,0.20202020202020204,-0.4857142857142857,0.3190345008526827,False
raw_log2,IL17A,2.0,2.321928094887362,-0.3219280948873622,0.26767676767676774,-0.45714285714285713,0.37586021881633896,False
raw_log2,TP53,6.658211482751795,8.807354922057604,-2.149143439305809,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,MAPK1,7.857980995127572,10.552669097514272,-2.6946881023867,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,CCRL2,3.9068905956085187,5.426264754702098,-1.5193741590935792,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,BTK,4.087462841250339,4.169925001442312,-0.08246216019197306,0.4318181818181819,-0.3142857142857143,0.546969696969697,False
raw_log2,KLRK1,5.0,5.0,0.0,0.5303030303030304,-0.2857142857142857,0.6384638463846386,False
raw_log2,TICAM1,6.768184324776926,8.558420713268664,-1.7902363884917376,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,CMKLR1,5.78135971352466,7.199672344836364,-1.4183126313117045,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,ARG1,0.0,1.584962500721156,-1.584962500721156,0.005050505050505051,-0.9428571428571428,0.14329966329966332,False
raw_log2,IDO1,3.169925001442312,4.087462841250339,-0.917537839808027,0.5303030303030304,-0.2857142857142857,0.6384638463846386,False
raw_log2,IL17B,2.321928094887362,2.807354922057604,-0.485426827170242,0.5303030303030304,-0.2571428571428571,0.6384638463846386,False
raw_log2,TNFRSF13C,5.0,4.247927513443585,0.7520724865564148,0.638888888888889,0.2,0.7329140461215933,False
raw_log2,CD6,4.087462841250339,4.087462841250339,0.0,0.8762626262626263,-0.11428571428571428,0.9169839531285314,False
raw_log2,CTSG,3.0,3.321928094887362,-0.3219280948873622,0.5303030303030304,-0.2571428571428571,0.6384638463846386,False
raw_log2,BAX,6.832890014164741,9.333155350310616,-2.5002653361458744,0.04797979797979798,-0.7142857142857143,0.1676535469638918,False
raw_log2,KIR_Inhibiting_Subgroup_1,2.321928094887362,2.584962500721156,-0.2630344058337939,0.5303030303030304,-0.2857142857142857,0.6384638463846386,False
raw_log2,NOTCH2,7.118941072723508,9.80896417491926,-2.6900231021957532,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,TNFRSF4,2.321928094887362,2.807354922057604,-0.485426827170242,0.26767676767676774,-0.45714285714285713,0.37586021881633896,False
raw_log2,TGFBR1,6.475733430966398,9.3151495622563,-2.8394161312899024,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,C7,10.52061868055628,12.58261245126702,-2.061993770710739,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,CD40,4.906890595608519,6.78135971352466,-1.8744691179161412,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,CCL15,5.321928094887363,7.312882955284356,-1.990954860396993,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,ICAM3,6.409390936137702,8.204571144249204,-1.7951802081115025,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,SKI,7.219168520462161,9.873444112515376,-2.6542755920532146,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,ATG10,4.459431618637297,6.965784284662087,-2.5063526660247897,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,C4BPA,1.584962500721156,2.584962500721156,-1.0,0.26767676767676774,-0.45714285714285713,0.37586021881633896,False
