strategy,gene,median_IgAN,median_IgAVN,median_difference_IgAN_minus_IgAVN,raw_p,cliffs_delta_IgAN_vs_IgAVN,FDR_within_strategy,predefined_focus_gene
raw_log2,CFB,8.022367813028454,8.79766152585376,-0.7752937128253059,0.3434343434343435,-0.37142857142857144,0.45791245791245794,True
raw_log2,BCL2,6.882643049361842,8.562242424221072,-1.6795993748592304,0.20202020202020204,-0.4857142857142857,0.3190345008526827,True
raw_log2,ITGAL,5.882643049361842,5.857980995127572,0.024662054234269704,0.8762626262626263,0.08571428571428572,0.9169839531285314,True
raw_log2,PSMB10,6.700439718141092,7.826548487290915,-1.1261087691498233,0.20202020202020204,-0.4857142857142857,0.3190345008526827,True
raw_log2,TAPBP,7.813781191217037,10.193525360501216,-2.3797441692841783,0.148989898989899,-0.5428571428571428,0.27121514546664255,True
raw_log2,C1QA,6.741466986401147,7.870364719583405,-1.1288977331822574,0.20202020202020204,-0.4857142857142857,0.3190345008526827,True
raw_log2,CXCR3,4.643856189774724,4.169925001442312,0.4739311883324122,0.638888888888889,0.22857142857142856,0.7329140461215933,True
raw_log2,CCL5,5.727920454563199,5.584962500721156,0.14295795384204268,1.0,0.0,1.0,True
raw_log2,STAT2,8.103287808412022,10.381542951184585,-2.2782551427725632,0.10606060606060606,-0.6,0.23030303030303031,True
raw_log2,CCR2,5.044394119358453,4.643856189774724,0.400537929583729,0.7550505050505051,0.14285714285714285,0.8256667393358041,True
background_only,CFB,7.9780069081460905,8.77068820237239,-0.7926812942263002,0.3434343434343435,-0.37142857142857144,0.5272931333537395,True
background_only,BCL2,6.782005485782238,8.509041189408212,-1.7270357036259734,0.20202020202020204,-0.4857142857142857,0.3633972864742096,True
background_only,ITGAL,5.676013939720145,5.532032308483924,0.14398163123622076,0.8762626262626263,0.08571428571428572,0.9866068088290311,True
background_only,PSMB10,6.586870054655269,7.773187741876746,-1.186317687221477,0.20202020202020204,-0.4857142857142857,0.3633972864742096,True
background_only,TAPBP,7.7618786185620054,10.179001983544856,-2.4171233649828503,0.148989898989899,-0.5428571428571428,0.30811516525802246,True
background_only,C1QA,6.631206406390795,7.8167673753911,-1.1855609690003046,0.20202020202020204,-0.4857142857142857,0.3633972864742096,True
background_only,CXCR3,4.0982019658879185,2.109242607368005,1.9889593585199137,0.5303030303030304,0.2571428571428571,0.7213070300318624,True
background_only,CCL5,5.516586511253281,5.322942182309459,0.19364432894382144,1.0,0.02857142857142857,1.0,True
background_only,STAT2,8.06096201519668,10.368802030524881,-2.3078400153282015,0.148989898989899,-0.5428571428571428,0.30811516525802246,True
background_only,CCR2,4.688075502382366,4.089847795703633,0.5982277066787329,0.5303030303030304,0.2571428571428571,0.7213070300318624,True
background_positive,CFB,7.82284769499961,8.825523674667819,-1.0026759796682088,0.4318181818181819,-0.3142857142857143,0.6035527690700104,True
background_positive,BCL2,6.587770591571797,8.578620714418706,-1.9908501228469095,0.148989898989899,-0.5428571428571428,0.297979797979798,True
background_positive,ITGAL,5.580677861041225,5.504961340529978,0.07571652051124644,1.0,0.02857142857142857,1.0,True
background_positive,PSMB10,6.491533975976348,7.957466374436366,-1.4659323984600174,0.20202020202020204,-0.4857142857142857,0.35809994993668465,True
background_positive,TAPBP,7.567643724351564,10.151931015590911,-2.584287291239347,0.148989898989899,-0.5428571428571428,0.297979797979798,True
background_positive,C1QA,6.450331629152303,7.89041832602357,-1.4400866968712673,0.10606060606060606,-0.6,0.2509138073340408,True
background_positive,CXCR3,4.002865887208999,2.1788221323784995,1.824043754830499,0.638888888888889,0.2,0.7927437641723356,True
background_positive,CCL5,5.481507050941593,5.405564719805193,0.07594233113639959,1.0,-0.02857142857142857,1.0,True
background_positive,STAT2,7.906133254613221,10.341731062570934,-2.4355978079577136,0.10606060606060606,-0.6,0.2509138073340408,True
background_positive,CCR2,4.652996042070679,4.264505532403108,0.38849050966757126,0.4318181818181819,0.3142857142857143,0.6035527690700104,True
background_positive_housekeeping,CFB,8.488602243432391,7.219081086850263,1.2695211565821278,0.030303030303030304,0.7714285714285715,0.11660912926735713,True
background_positive_housekeeping,BCL2,7.914906506965385,7.060100925082134,0.8548055818832507,0.0025252525252525255,1.0,0.09595959595959598,True
background_positive_housekeeping,ITGAL,6.186609275006446,4.036031367745361,2.150577907261085,0.01767676767676768,0.8285714285714286,0.09595959595959598,True
background_positive_housekeeping,PSMB10,7.148693628370734,6.370537517835739,0.7781561105349946,0.0025252525252525255,1.0,0.09595959595959598,True
background_positive_housekeeping,TAPBP,8.894779639745153,8.633405792515646,0.26137384722950685,0.0025252525252525255,1.0,0.09595959595959598,True
background_positive_housekeeping,C1QA,7.248461182166645,6.568637278859677,0.6798239033069677,0.04797979797979798,0.7142857142857143,0.13825458375221408,True
background_positive_housekeeping,CXCR3,3.6820923598640203,0.7333338038561706,2.9487585560078498,0.030303030303030304,0.7714285714285715,0.11660912926735713,True
background_positive_housekeeping,CCL5,6.114808272234806,3.8985187527124214,2.216289519522385,0.010101010101010102,0.8857142857142857,0.09595959595959598,True
background_positive_housekeeping,STAT2,9.262564497160309,8.837288700619421,0.42527579654088754,0.0025252525252525255,1.0,0.09595959595959598,True
background_positive_housekeeping,CCR2,5.697080931457704,3.3769760108685505,2.320104920589153,0.01767676767676768,0.8285714285714286,0.09595959595959598,True
