strategy,sample_id,disease_group,PC1,PC2,PC1_variance,PC2_variance,log2_housekeeping_geo_mean
raw_log2,GSM6788338,IgAVN,-0.6085023647113785,0.3717698839557591,0.6824786347010701,0.09308653140468072,9.018735401351385
raw_log2,GSM6788339,IgAVN,-15.513068345457034,-6.369890046547698,0.6824786347010701,0.09308653140468072,8.36535770226536
raw_log2,GSM6788340,IgAVN,25.601673531860015,-6.998000984865382,0.6824786347010701,0.09308653140468072,10.655767833976364
raw_log2,GSM6788341,IgAN,-28.93253031855527,-1.9350326033323844,0.6824786347010701,0.09308653140468072,7.404302072689191
raw_log2,GSM6788342,IgAN,25.567567273446663,0.4317880251270356,0.6824786347010701,0.09308653140468072,10.374591387575483
raw_log2,GSM6788343,IgAN,-27.519909609381223,1.8501394944459708,0.6824786347010701,0.09308653140468072,7.26953312966769
raw_log2,GSM6788344,IgAN,-41.69541468566151,-5.437798960148296,0.6824786347010701,0.09308653140468072,6.857650838046755
raw_log2,GSM6788345,IgAN,-13.651334307779916,3.7420149279700996,0.6824786347010701,0.09308653140468072,8.125506574117559
raw_log2,GSM6788350,IgAVN,24.837896898502425,-5.0875368370636584,0.6824786347010701,0.09308653140468072,10.741893379270039
raw_log2,GSM6788351,IgAVN,6.0701617938214385,26.639192464291035,0.6824786347010701,0.09308653140468072,9.189002201039926
raw_log2,GSM6788352,IgAVN,25.624857847174205,-0.15153736148735522,0.6824786347010701,0.09308653140468072,10.576485865240555
raw_log2,GSM6788353,IgAVN,20.218602286741614,-7.055108002345115,0.6824786347010701,0.09308653140468072,10.337880575900336
background_only,GSM6788338,IgAVN,1.0656348285947512,1.2911566095156228,0.5858224218677529,0.11825994497846042,9.018735401351385
background_only,GSM6788339,IgAVN,-15.920640004002331,-8.459396170633534,0.5858224218677529,0.11825994497846042,8.36535770226536
background_only,GSM6788340,IgAVN,24.40320049447088,-13.806975850890964,0.5858224218677529,0.11825994497846042,10.655767833976364
background_only,GSM6788341,IgAN,-38.33110289472209,-6.333422890767219,0.5858224218677529,0.11825994497846042,7.404302072689191
background_only,GSM6788342,IgAN,29.53848421686749,3.8161118028467893,0.5858224218677529,0.11825994497846042,10.374591387575483
background_only,GSM6788343,IgAN,-31.480826816730623,3.9705001082383724,0.5858224218677529,0.11825994497846042,7.26953312966769
background_only,GSM6788344,IgAN,-42.86518702528134,-4.3731092997398555,0.5858224218677529,0.11825994497846042,6.857650838046755
background_only,GSM6788345,IgAN,-14.686810694934469,7.9068278652653055,0.5858224218677529,0.11825994497846042,8.125506574117559
background_only,GSM6788350,IgAVN,29.367069792660832,-5.354501377334273,0.5858224218677529,0.11825994497846042,10.741893379270039
background_only,GSM6788351,IgAVN,7.7469114256407385,32.62526729540808,0.5858224218677529,0.11825994497846042,9.189002201039926
background_only,GSM6788352,IgAVN,30.93575157980117,2.967236300869108,0.5858224218677529,0.11825994497846042,10.576485865240555
background_only,GSM6788353,IgAVN,20.227515097635003,-14.249694392777446,0.5858224218677529,0.11825994497846042,10.337880575900336
background_positive,GSM6788338,IgAVN,-0.9266260013933162,0.9105464308440059,0.6087679633429801,0.1141447119780133,9.018735401351385
background_positive,GSM6788339,IgAVN,-20.29339782875197,-8.928918666292043,0.6087679633429801,0.1141447119780133,8.36535770226536
background_positive,GSM6788340,IgAVN,24.624642657433125,-14.662772194454645,0.6087679633429801,0.1141447119780133,10.655767833976364
background_positive,GSM6788341,IgAN,-43.619436155804465,-6.284548004910644,0.6087679633429801,0.1141447119780133,7.404302072689191
background_positive,GSM6788342,IgAN,32.10454961909803,3.789013850577873,0.6087679633429801,0.1141447119780133,10.374591387575483
background_positive,GSM6788343,IgAN,-32.81233893872165,5.088266246481701,0.6087679633429801,0.1141447119780133,7.26953312966769
background_positive,GSM6788344,IgAN,-38.0834620583658,-2.126582602409364,0.6087679633429801,0.1141447119780133,6.857650838046755
background_positive,GSM6788345,IgAN,-17.378410205362233,8.13963348411087,0.6087679633429801,0.1141447119780133,8.125506574117559
background_positive,GSM6788350,IgAVN,33.92756422433415,-5.309029807044947,0.6087679633429801,0.1141447119780133,10.741893379270039
background_positive,GSM6788351,IgAVN,12.292188282302762,32.4234776363118,0.6087679633429801,0.1141447119780133,9.189002201039926
background_positive,GSM6788352,IgAVN,31.879716731481984,2.379536093771458,0.6087679633429801,0.1141447119780133,10.576485865240555
background_positive,GSM6788353,IgAVN,18.285009673749425,-15.418622466986076,0.6087679633429801,0.1141447119780133,10.337880575900336
background_positive_housekeeping,GSM6788338,IgAVN,0.7311039516004408,0.1447290407692092,0.43623840670853636,0.1502682534916114,9.018735401351385
background_positive_housekeeping,GSM6788339,IgAVN,-2.6810268076942765,-4.804655203298355,0.43623840670853636,0.1502682534916114,8.36535770226536
background_positive_housekeeping,GSM6788340,IgAVN,-29.346695159206078,-2.4792407983920097,0.43623840670853636,0.1502682534916114,10.655767833976364
background_positive_housekeeping,GSM6788341,IgAN,8.670193385486948,-5.525140577032517,0.43623840670853636,0.1502682534916114,7.404302072689191
background_positive_housekeeping,GSM6788342,IgAN,-4.110136269682888,-1.9458617025119533,0.43623840670853636,0.1502682534916114,10.374591387575483
background_positive_housekeeping,GSM6788343,IgAN,27.91782670724539,-10.728301969848877,0.43623840670853636,0.1502682534916114,7.26953312966769
background_positive_housekeeping,GSM6788344,IgAN,24.117104218714985,-6.126135548335675,0.43623840670853636,0.1502682534916114,6.857650838046755
background_positive_housekeeping,GSM6788345,IgAN,19.6045306012168,-6.2613502406005495,0.43623840670853636,0.1502682534916114,8.125506574117559
background_positive_housekeeping,GSM6788350,IgAVN,-19.363708932590217,1.5533813607126559,0.43623840670853636,0.1502682534916114,10.741893379270039
background_positive_housekeeping,GSM6788351,IgAVN,15.391404237805212,34.893852584993134,0.43623840670853636,0.1502682534916114,9.189002201039926
background_positive_housekeeping,GSM6788352,IgAVN,-11.435302869825321,3.0397600966707015,0.43623840670853636,0.1502682534916114,10.576485865240555
background_positive_housekeeping,GSM6788353,IgAVN,-29.49529306307098,-1.7610370431257605,0.43623840670853636,0.1502682534916114,10.337880575900336
